x,y
-80.597848,79.559777
-83.782712,80.247044
-86.496681,80.298009
-83.353933,79.053483
-84.704967,79.019608
-81.482261,79.057450
-83.255970,78.844434
-82.345617,78.567636
-85.078202,78.922255
-86.852827,78.738842
-87.482719,78.122988
-85.820401,78.386664
-85.451438,78.101930
-84.596628,78.595407
-84.789502,77.520562
-82.298314,78.077211
-84.467842,77.295338
-88.228580,77.852293
-86.616312,77.181201
-89.664149,76.571756
-88.594797,76.399634
-88.420539,76.770428
-87.612116,76.336156
-87.527886,76.628214
-86.686198,76.342565
-86.609903,76.641642
-85.246967,76.279088
-84.318608,76.656291
-83.199207,76.413672
-83.396658,76.761883
-82.266880,76.393835
-82.740520,76.824750
-81.065690,76.131380
-80.000000,76.261387
0,0
-94.196994,78.997940
-91.660334,78.567941
-92.987564,78.475471
-92.054932,78.203250
-89.476158,78.148928
-89.962310,78.612497
-88.862440,78.146487
-88.159609,78.995193
-87.613336,78.642100
-84.879530,79.268635
-85.703822,79.619593
-87.435416,79.532311
-87.614862,80.406348
-88.341192,80.077668
-93.492638,81.379568
-95.501946,80.813153
-93.766690,80.520180
-96.619516,80.350805
-94.389563,79.979400
-96.678111,80.146334
-96.634165,79.879911
-94.331579,79.769436
-95.145800,79.273823
-90.333410,79.243610
-94.193942,79.000076
-94.196994,78.997940
0,0
-80.000000,75.531701
-81.595483,75.808194
-86.553750,75.360800
-88.764782,75.684596
-88.931411,75.428855
-89.932097,76.006867
-91.200427,75.817044
-90.193942,76.062104
-91.618830,76.264439
-89.195697,76.235752
-91.472038,76.452735
-90.970626,76.652018
-93.553063,76.387121
-93.690394,76.917220
-96.801099,76.983749
-95.403067,76.230869
-93.090715,76.362097
-92.169680,75.000076
-92.166629,74.992447
-89.981231,74.529488
-88.550851,74.907301
-87.715572,74.455024
-83.590753,74.542000
-83.512322,74.903029
-81.764858,74.468757
-80.000000,74.775463
0,0
-80.000000,82.876478
-82.356603,82.675059
-80.419928,82.040589
-85.186847,82.480354
-86.860151,82.197757
-84.503243,81.881285
-87.966430,82.124208
-91.891051,81.658198
-89.504234,81.626764
-90.404517,81.362478
-87.210803,81.490654
-89.698939,81.005722
-84.642710,81.288319
-89.417258,80.912032
-87.494926,80.623026
-82.305943,81.177539
-85.509728,80.801862
-86.061799,80.529335
-83.213550,80.839094
-81.733730,80.815290
-83.115282,80.540017
-80.932326,80.653849
-80.000000,80.836042
0,0
-80.000000,72.393835
-80.962234,71.883879
-80.225834,72.736248
-81.548180,73.724117
-85.000076,73.348135
-83.698482,73.007248
-85.542992,73.033188
-83.951476,72.747234
-85.701686,72.904707
-84.148928,72.006561
-85.225910,72.266575
-86.038605,72.021210
-84.480659,71.637293
-84.772412,70.932937
-85.000076,71.204852
-89.530785,71.091020
-88.792554,70.498054
-87.858091,70.239872
-86.381628,70.528267
-85.819181,70.009461
-85.538720,70.000000
0,0
-100.000000,71.655604
-99.213855,71.351949
-98.178378,71.423972
-98.219883,71.895476
-98.182345,71.645533
-97.003738,71.746242
-97.000076,71.749905
-96.522164,72.756085
-98.489052,73.009079
-96.957961,73.748531
-100.000000,73.820249
0,0
-85.000076,71.280842
-86.096284,71.977874
-86.283665,72.702678
-84.831617,73.743648
-86.557717,73.857176
-89.149310,73.183032
-89.999847,71.454185
-86.983749,71.215229
-85.003433,71.280842
-85.000076,71.280842
0,0
-94.999924,71.982147
-93.452049,72.441138
-94.292821,72.774090
-92.099489,72.740826
-90.186923,73.915160
-95.290761,73.993286
-95.017014,71.980316
-94.999924,71.982147
0,0
-92.586862,70.000000
-92.357671,70.244450
-91.504997,70.184024
-94.483558,71.994049
-96.599985,70.823682
-95.754025,70.716869
-96.116274,70.000000
0,0
-100.000000,74.987869
-97.972992,75.023880
-97.263142,75.398032
-98.493019,76.684672
-99.056382,76.392004
-100.000000,76.446326
0,0
-96.000000,77.882506
-94.866560,78.386664
-98.153964,78.817273
-97.793545,78.033265
